Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup,Age Group
cazover,CA7-zine collection oversize,ItemCollection,Print,Book,Periodical,,Adult
caziner,CA7-zine collection reference,ItemCollection,Print,Book,Periodical,,Adult
cazval,CA7-zine collection valuable mat.,ItemCollection,Print,Book,Periodical,,Adult
nga,Northgate Branch,Location,,,,,
hip,High Point Branch,Location,,,,,
rbe,Rainier Beach Branch,Location,,,,,
wlb,Wa Talking Book And Braille Library,Location,,,,,
dth,Douglass-Truth Branch,Location,,,,,
drp1,*** Temporary ***,Location,,,,,
mag,Magnolia Branch,Location,,,,,
nhy,NewHolly Branch,Location,,,,,
bal,Ballard Branch,Location,,,,,
gwd,Greenwood Branch,Location,,,,,
net,Northeast Branch,Location,,,,,
idc,International District/Chinatown Branch,Location,,,,,
cap,Capitol Hill Branch,Location,,,,,
stak,Unavailable: [do Not Use!!!],Location,,,,,
wal,Wallingford Branch,Location,,,,,
tcs,Tech. & Coll. Srvcs Dept (Central),Location,,,,,
lcy,Lake City Branch,Location,,,,,
bro,Broadview Branch,Location,,,,,
mon,Montlake Branch,Location,,,,,
mob,Mobile Services,Location,,,,,
spa,South Park Branch,Location,,,,,
qas,Storage - Ask At Desk,Location,,,,,
dlr,Delridge Branch,Location,,,,,
col,Columbia Branch,Location,,,,,
out,Outreach,Location,,,,,
uni,University Branch,Location,,,,,
qna,Queen Anne Branch,Location,,,,,
wts,West Seattle Branch,Location,,,,,
mgm,Madrona-Sally Goldmark Branch,Location,,,,,
glk,Green Lake Branch,Location,,,,,
bea,Beacon Hill Branch,Location,,,,,
cen,Central Library,Location,,,,,
fre,Fremont Branch,Location,,,,,
swt,Southwest Branch,Location,,,,,
ill,Interlibrary Loan,Location,,,Interlibrary Loan,,
napclb,NA-Computer Lab,ItemCollection,Print,Book,Miscellaneous,,Adult
caper,CA7-Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
nypb,NY-Teen Paperbacks,ItemCollection,Print,Book,Fiction,,Teen
nafic,NA-Fiction,ItemCollection,Print,Book,Fiction,,Adult
cspero,"CS 6 - Magazines, Oversize",ItemCollection,Print,Book,Miscellaneous,,Adult
ccb,CC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography,Juvenile
cs8,CS 8,ItemCollection,Print,Book,Miscellaneous,,Adult
arbk,Book: Ref Adult/YA,ItemType,Print,Book,Reference,,Adult
bcvhs,Video (VHS): Adult/Formerly No Fine,ItemType,Media,Video Tape,Miscellaneous,,Adult
peakfic,Peak Picks Fiction,ItemCollection,Print,Book,Fiction,Peak Picks,Adult
cs8x,CS 8 - Extra-large,ItemCollection,Print,Book,Miscellaneous,,Adult
cccomic,CC-Children's Comics,ItemCollection,Print,Book,Fiction,Comic,Juvenile
sxper,Branch Periodical Copy Record,ItemCollection,Other,Periodical,Temporary,,Adult
drbk,Book: Dummy Record,ItemType,Other,Book,Temporary,,Adult
cagcdr,CA9-Genealogy CDROMs,ItemCollection,Media,Data Disc,Miscellaneous,,Adult
sxdmyb,"CAT Dummy For Anals,Series,Etc.",ItemCollection,Other,,Temporary,,Adult
cagr,CA 9 Ref Genealogy,ItemCollection,Print,Book,Reference,,Adult
HOTSPOT,Equipment: HOTSPOT,ItemTypeDetail,Equipment,,Miscellaneous,,Adult
cyser,CY3-Teen Series,ItemCollection,Print,Book,Fiction,,Teen
nabiflk,NA-Bifolkal Kits,ItemCollection,Media,Kit,Miscellaneous,,Adult
bccas,Audio Tape: Speech Adult Formerly No Fine,ItemType,Media,Audio Tape,Miscellaneous,,Adult
namys,NA-Mysteries,ItemCollection,Print,Book,Fiction,,Adult
napclbr,NA-Computer Lab - Ref.,ItemCollection,Print,Book,Reference,,Adult
cash,CA9-Nonfiction Shakespeare S Call Nos.,ItemCollection,Print,Book,Nonfiction,,Adult
nacomic,NA-Comics/Graphic Novels,ItemCollection,Print,Book,Fiction,Comic,Adult
xrpam,Pamphlet: Analytic Record,ItemType,Other,,Analytic,,Adult
caaeroo,Cs9-AERO Oversize,ItemCollection,Print,Book,Nonfiction,,Adult
cawest,CA3-Western,ItemCollection,Print,Book,Fiction,,Adult
armap,Map: Ref Adult/YA,ItemType,Print,,Reference,,Adult
jccdrom,CD-ROM: Juv,ItemType,Media,Data Disc,Miscellaneous,,Juvenile
cynf,CY-Teen Nonfiction,ItemCollection,Print,Book,Nonfiction,,Teen
caseaat,CA0-Seattle Atlases,ItemCollection,Print,Book,Miscellaneous,,Adult
nabot,NA-Books On Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Adult
cs9go,REF-Ask at Level 9 Genealogy Desk (CS9Go),ItemCollection,Print,Book,Reference,,Adult
aceqnh,Equipment: Adult/YA No Hold,ItemType,Equipment,,Miscellaneous,,Adult
FA-I,Fast Add - Item,ItemCollection,Other,,Temporary,,Adult
swser,Serials--Staff Ops. Copy,ItemCollection,Other,,Miscellaneous,,Adult
ahmfc,Microfiche: Adult/YA No Hold,ItemType,Media,Film,Miscellaneous,,Adult
najobr,NA-Job & Educ- Reference,ItemCollection,Print,Book,Reference,,Adult
ncspec,NC-Children's Special Collection(s),ItemCollection,Print,Book,Miscellaneous,,Juvenile
cs8r,CS 8 - Reference,ItemCollection,Print,Book,Reference,,Adult
jcvhs,Video (VHS): Juv,ItemType,Media,Video Tape,Miscellaneous,,Juvenile
ccsoft,CC-Children's Software,ItemCollection,Media,Data Disc,Miscellaneous,,Juvenile
nyfic,NY-Teen - Fiction,ItemCollection,Print,Book,Fiction,,Teen
cs8f,CS 8 - Folio,ItemCollection,Print,Book,Miscellaneous,,Adult
cs1l,CS 1 - Limit,ItemCollection,Print,Book,Miscellaneous,,Adult
arpam,Pamphlet: Ref Adult/ya,ItemType,Print,,Reference,,Adult
nctoy,NC-Children's Toys,ItemCollection,Media,,Miscellaneous,,Juvenile
caseaf,CA0-Seattle Room Folio,ItemCollection,Print,Book,Miscellaneous,,Adult
swtest,Test - DO NOT USE,ItemCollection,Other,,Miscellaneous,,Adult
caeslt,CA1-ESL Teachers,ItemCollection,Print,Book,Miscellaneous,,Adult
ccper,CC-Children's Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Juvenile
acper,Magazine: Adult/ya,ItemType,Print,Periodical,Miscellaneous,,Adult
cagrs,CA5-General Reference,ItemCollection,Print,Book,Miscellaneous,,Adult
capfskt,CA9-Play File: Skits,ItemCollection,Print,,Nonfiction,,Adult
peaknf,Peak Picks-Nonfiction,ItemCollection,Print,Book,Nonfiction,Peak Picks,Adult
nacd,NA-Compact Discs,ItemCollection,Media,Audio Disc,Nonfiction,,Adult
cacomic,CA3-Graphic Novels,ItemCollection,Print,Book,Fiction,Comic,Adult
naglc,NA-Gay/Lesbian Collection,ItemCollection,Print,Book,Nonfiction,,Adult
napar,NA-Parenting,ItemCollection,Print,Book,Nonfiction,,Adult
nyb,NY-Teen - Biography,ItemCollection,Print,Book,Nonfiction,Biography,Teen
wylp,WTBBL-Large Print - YA,ItemCollection,Print,Book,WTBBL,Large Print,Teen
cyb,CY9-Teen Biography,ItemCollection,Print,Book,Nonfiction,Biography,Teen
arcd,CD: Ref Adult/YA,ItemType,Media,Audio Disc,Reference,,Adult
cs9l,CS 9 - Limit,ItemCollection,Print,Book,Miscellaneous,,Adult
swper,Remote Annex - Periodicals,ItemCollection,Other,Periodical,Miscellaneous,,Adult
cabob,CA-Books on Bikes,ItemCollection,Print,Book,Miscellaneous,,Adult
naparr,NA-Ref Parenting,ItemCollection,Print,Book,Miscellaneous,,Adult
ncgold,Goldmark Collection,ItemCollection,Print,Book,Miscellaneous,,Juvenile
acphoto,Photographs: Adult/ya,ItemType,Media,Art,Miscellaneous,,Adult
ncsub,NC--Children's Subject Kits,ItemCollection,Media,Kit,Miscellaneous,,Juvenile
naart,NA-Framed Art,ItemCollection,Media,Art,Miscellaneous,,Adult
ncdvd,NC-Children's DVDs,ItemCollection,Media,Video Disc,Fiction,,Juvenile
nxanal,NA-Analytics Dummy,ItemCollection,Other,,Miscellaneous,,Adult
arweb,Web Site: Ref Adult/YA,ItemType,Electronic,,Reference,,Adult
